date,INTL_SXXGV
2001-01-05,101.04
2001-01-12,100.24
2001-01-19,99.5
2001-01-26,99.17
2001-02-02,99.13
2001-02-09,96.49
2001-02-16,94.37
2001-02-23,91.33
2001-03-02,92.35
2001-03-09,92.87
2001-03-16,84.74
2001-03-23,81.74
2001-03-30,84.55
2001-04-06,85.51
2001-04-13,88.03
2001-04-20,90.1
2001-04-27,90.41
2001-05-04,90.18
2001-05-11,89.74
2001-05-18,91.5
2001-05-25,89.47
2001-06-01,87.27
2001-06-08,87.66
2001-06-15,85.21
2001-06-22,84.22
2001-06-29,84.31
2001-07-06,81.44
2001-07-13,81.7
2001-07-20,81.79
2001-07-27,82.08
2001-08-03,84.24
2001-08-10,81.97
2001-08-17,82.65
2001-08-24,84.35
2001-08-31,82.11
2001-09-07,77.04
2001-09-14,71.24
2001-09-21,65.31
2001-09-28,73.4
2001-10-05,75.2
2001-10-12,76.85
2001-10-19,74.45
2001-10-26,77.36
2001-11-02,76.79
2001-11-09,79.05
2001-11-16,79.69
2001-11-23,79.12
2001-11-30,78.63
2001-12-07,80.59
2001-12-14,77.97
2001-12-21,78.63
2001-12-28,80.16
2002-01-04,81.77
2002-01-11,79.83
2002-01-18,77.99
2002-01-25,77.14
2002-02-01,76.82
2002-02-08,75.49
2002-02-15,76.81
2002-02-22,74.88
2002-03-01,77.13
2002-03-08,80.15
2002-03-15,80.61
2002-03-22,80.41
2002-03-29,80.6
2002-04-05,80.12
2002-04-12,78.95
2002-04-19,81.46
2002-04-26,80.03
2002-05-03,80.84
2002-05-10,80.07
2002-05-17,81.95
2002-05-24,80.56
2002-05-31,80.07
2002-06-07,77.33
2002-06-14,73.88
2002-06-21,74.65
2002-06-28,77.71
2002-07-05,76.67
2002-07-12,71.87
2002-07-19,69.68
2002-07-26,65.71
2002-08-02,66.52
2002-08-09,68.58
2002-08-16,69.53
2002-08-23,70.69
2002-08-30,69.06
2002-09-06,67.2
2002-09-13,64.92
2002-09-20,61.58
2002-09-27,62.07
2002-10-04,59.76
2002-10-11,62.11
2002-10-18,64.92
2002-10-25,64.09
2002-11-01,65.15
2002-11-08,66.09
2002-11-15,67.34
2002-11-22,68.96
2002-11-29,68.83
2002-12-06,66.93
2002-12-13,65.37
2002-12-20,65.75
2002-12-27,64.84
2003-01-03,68.29
2003-01-10,68.36
2003-01-17,66.69
2003-01-24,64.07
2003-01-31,63.32
2003-02-07,62.03
2003-02-14,62.28
2003-02-21,62.52
2003-02-28,61.29
2003-03-07,59.15
2003-03-14,60.16
2003-03-21,63.52
2003-03-28,61.9
2003-04-04,63.36
2003-04-11,64.22
2003-04-18,66.39
2003-04-25,66.72
2003-05-02,69.23
2003-05-09,70.38
2003-05-16,72.34
2003-05-23,71.83
2003-05-30,73.5
2003-06-06,76.06
2003-06-13,76.85
2003-06-20,76.89
2003-06-27,74.56
2003-07-04,74.38
2003-07-11,74.42
2003-07-18,73.75
2003-07-25,75.53
2003-08-01,74.87
2003-08-08,75.0
2003-08-15,76.79
2003-08-22,75.92
2003-08-29,75.37
2003-09-05,78.21
2003-09-12,78.17
2003-09-19,79.89
2003-09-26,77.72
2003-10-03,80.05
2003-10-10,81.67
2003-10-17,82.01
2003-10-24,81.32
2003-10-31,82.17
2003-11-07,83.09
2003-11-14,85.01
2003-11-21,84.07
2003-11-28,85.87
2003-12-05,87.61
2003-12-12,88.39
2003-12-19,89.9
2003-12-26,90.89
2004-01-02,93.63
2004-01-09,96.0
2004-01-16,94.62
2004-01-23,96.9
2004-01-30,94.09
2004-02-06,96.31
2004-02-13,98.1
2004-02-20,98.29
2004-02-27,96.96
2004-03-05,98.38
2004-03-12,93.44
2004-03-19,93.72
2004-03-26,91.65
2004-04-02,95.55
2004-04-09,95.67
2004-04-16,94.98
2004-04-23,94.27
2004-04-30,93.03
2004-05-07,92.66
2004-05-14,90.31
2004-05-21,91.82
2004-05-28,94.51
2004-06-04,95.72
2004-06-11,94.96
2004-06-18,96.44
2004-06-25,96.23
2004-07-02,96.11
2004-07-09,96.36
2004-07-16,95.59
2004-07-23,92.48
2004-07-30,93.34
2004-08-06,92.54
2004-08-13,92.0
2004-08-20,92.89
2004-08-27,93.56
2004-09-03,94.38
2004-09-10,96.3
2004-09-17,96.55
2004-09-24,96.51
2004-10-01,98.71
2004-10-08,99.38
2004-10-15,98.45
2004-10-22,99.81
2004-10-29,100.71
2004-11-05,104.65
2004-11-12,106.26
2004-11-19,106.61
2004-11-26,108.44
2004-12-03,110.23
2004-12-10,108.34
2004-12-17,109.02
2004-12-24,112.31
2004-12-31,112.71
2005-01-07,109.78
2005-01-14,109.44
2005-01-21,108.84
2005-01-28,109.7
2005-02-04,112.09
2005-02-11,113.11
2005-02-18,115.04
2005-02-25,115.82
2005-03-04,117.6
2005-03-11,117.43
2005-03-18,115.5
2005-03-25,112.94
2005-04-01,113.48
2005-04-08,114.09
2005-04-15,112.76
2005-04-22,113.17
2005-04-29,110.58
2005-05-06,112.71
2005-05-13,110.38
2005-05-20,111.16
2005-05-27,112.37
2005-06-03,111.83
2005-06-10,111.91
2005-06-17,113.85
2005-06-24,112.8
2005-07-01,112.42
2005-07-08,112.29
2005-07-15,114.45
2005-07-22,115.32
2005-07-29,117.02
2005-08-05,118.47
2005-08-12,121.36
2005-08-19,118.74
2005-08-26,117.83
2005-09-02,121.98
2005-09-09,123.26
2005-09-16,121.78
2005-09-23,119.64
2005-09-30,121.65
2005-10-07,120.06
2005-10-14,118.35
2005-10-21,115.52
2005-10-28,116.47
2005-11-04,118.58
2005-11-11,119.26
2005-11-18,119.3
2005-11-25,120.65
2005-12-02,121.99
2005-12-09,123.55
2005-12-16,125.75
2005-12-23,125.08
2005-12-30,124.46
2006-01-06,131.1
2006-01-13,130.26
2006-01-20,128.66
2006-01-27,132.76
2006-02-03,131.51
2006-02-10,131.12
2006-02-17,132.97
2006-02-24,134.14
2006-03-03,134.28
2006-03-10,134.02
2006-03-17,139.16
2006-03-24,138.88
2006-03-31,138.56
2006-04-07,139.44
2006-04-14,138.6
2006-04-21,144.46
2006-04-28,145.73
2006-05-05,150.21
2006-05-12,148.49
2006-05-19,140.07
2006-05-26,142.36
2006-06-02,143.92
2006-06-09,136.59
2006-06-16,135.02
2006-06-23,136.26
2006-06-30,142.55
2006-07-07,143.34
2006-07-14,137.01
2006-07-21,138.86
2006-07-28,145.4
2006-08-04,147.23
2006-08-11,144.4
2006-08-18,148.07
2006-08-25,147.44
2006-09-01,150.35
2006-09-08,146.48
2006-09-15,148.27
2006-09-22,149.82
2006-09-29,151.05
2006-10-06,151.91
2006-10-13,153.81
2006-10-20,155.73
2006-10-27,157.65
2006-11-03,157.4
2006-11-10,161.28
2006-11-17,160.84
2006-11-24,163.24
2006-12-01,163.18
2006-12-08,166.25
2006-12-15,167.92
2006-12-22,167.07
2006-12-29,168.78
2007-01-05,166.53
2007-01-12,168.56
2007-01-19,169.82
2007-01-26,168.49
2007-02-02,172.43
2007-02-09,173.37
2007-02-16,175.33
2007-02-23,175.84
2007-03-02,166.75
2007-03-09,169.45
2007-03-16,168.16
2007-03-23,176.11
2007-03-30,175.53
2007-04-06,180.16
2007-04-13,182.77
2007-04-20,186.94
2007-04-27,186.73
2007-05-04,189.44
2007-05-11,187.38
2007-05-18,189.31
2007-05-25,189.12
2007-06-01,191.96
2007-06-08,184.1
2007-06-15,190.97
2007-06-22,188.71
2007-06-29,190.46
2007-07-06,194.05
2007-07-13,196.99
2007-07-20,194.67
2007-07-27,182.42
2007-08-03,183.69
2007-08-10,178.18
2007-08-17,174.82
2007-08-24,181.65
2007-08-31,184.24
2007-09-07,180.89
2007-09-14,183.4
2007-09-21,190.98
2007-09-28,193.3
2007-10-05,196.86
2007-10-12,199.19
2007-10-19,195.32
2007-10-26,198.84
2007-11-02,198.14
2007-11-09,194.37
2007-11-16,191.31
2007-11-23,191.0
2007-11-30,196.15
2007-12-07,197.17
2007-12-14,191.31
2007-12-21,189.05
2007-12-28,193.4
2008-01-04,187.73
2008-01-11,183.54
2008-01-18,172.96
2008-01-25,171.07
2008-02-01,175.88
2008-02-08,165.31
2008-02-15,168.52
2008-02-22,171.38
2008-02-29,175.22
2008-03-07,171.5
2008-03-14,172.23
2008-03-21,166.16
2008-03-28,175.58
2008-04-04,182.68
2008-04-11,179.0
2008-04-18,184.04
2008-04-25,184.27
2008-05-02,185.94
2008-05-09,184.2
2008-05-16,188.91
2008-05-23,186.04
2008-05-30,185.47
2008-06-06,181.09
2008-06-13,174.01
2008-06-20,171.17
2008-06-27,168.02
2008-07-04,162.91
2008-07-11,159.81
2008-07-18,165.34
2008-07-25,164.07
2008-08-01,162.13
2008-08-08,161.78
2008-08-15,157.11
2008-08-22,156.71
2008-08-29,158.13
2008-09-05,144.79
2008-09-12,148.26
2008-09-19,149.51
2008-09-26,144.97
2008-10-03,134.73
2008-10-10,103.44
2008-10-17,107.63
2008-10-24,94.57
2008-10-31,105.2
2008-11-07,104.97
2008-11-14,97.6
2008-11-21,85.41
2008-11-28,98.19
2008-12-05,90.32
2008-12-12,99.48
2008-12-19,102.74
2008-12-26,101.05
2009-01-02,106.99
2009-01-09,105.43
2009-01-16,96.06
2009-01-23,87.71
2009-01-30,92.15
2009-02-06,96.05
2009-02-13,92.97
2009-02-20,84.12
2009-02-27,82.88
2009-03-06,76.24
2009-03-13,82.1
2009-03-20,88.57
2009-03-27,89.24
2009-04-03,94.7
2009-04-10,94.25
2009-04-17,97.54
2009-04-24,98.87
2009-05-01,101.53
2009-05-08,108.41
2009-05-15,106.14
2009-05-22,111.82
2009-05-29,113.89
2009-06-05,114.28
2009-06-12,116.16
2009-06-19,112.33
2009-06-26,111.49
2009-07-03,110.82
2009-07-10,106.69
2009-07-17,115.33
2009-07-24,121.02
2009-07-31,123.74
2009-08-07,127.3
2009-08-14,126.57
2009-08-21,130.62
2009-08-28,132.81
2009-09-04,129.52
2009-09-11,137.48
2009-09-18,140.35
2009-09-25,136.69
2009-10-02,133.13
2009-10-09,139.49
2009-10-16,142.32
2009-10-23,143.29
2009-10-30,136.21
2009-11-06,139.74
2009-11-13,144.0
2009-11-20,141.3
2009-11-27,141.99
2009-12-04,144.92
2009-12-11,140.1
2009-12-18,137.44
2009-12-25,141.44
2010-01-01,142.49
2010-01-08,145.22
2010-01-15,144.14
2010-01-22,138.15
2010-01-29,134.35
2010-02-05,127.14
2010-02-12,128.55
2010-02-19,132.6
2010-02-26,131.55
2010-03-05,137.42
2010-03-12,139.71
2010-03-19,138.4
2010-03-26,138.94
2010-04-02,142.62
2010-04-09,142.83
2010-04-16,142.66
2010-04-23,141.08
2010-04-30,136.71
2010-05-07,119.32
2010-05-14,122.98
2010-05-21,118.82
2010-05-28,120.32
2010-06-04,117.84
2010-06-11,120.84
2010-06-18,126.75
2010-06-25,122.34
2010-07-02,119.89
2010-07-09,126.71
2010-07-16,128.89
2010-07-23,131.61
2010-07-30,133.5
2010-08-06,138.11
2010-08-13,131.04
2010-08-20,128.6
2010-08-27,128.48
2010-09-03,134.72
2010-09-10,135.54
2010-09-17,137.99
2010-09-24,143.19
2010-10-01,143.38
2010-10-08,147.11
2010-10-15,150.01
2010-10-22,149.62
2010-10-29,148.93
2010-11-05,153.79
2010-11-12,149.39
2010-11-19,148.66
2010-11-26,142.29
2010-12-03,146.5
2010-12-10,147.54
2010-12-17,146.89
2010-12-24,149.22
2010-12-31,149.54
2011-01-07,147.46
2011-01-14,153.28
2011-01-21,154.51
2011-01-28,154.61
2011-02-04,156.85
2011-02-11,158.08
2011-02-18,160.77
2011-02-25,158.37
2011-03-04,160.06
2011-03-11,154.81
2011-03-18,153.74
2011-03-25,158.72
2011-04-01,161.14
2011-04-08,165.6
2011-04-15,163.29
2011-04-22,167.0
2011-04-29,172.36
2011-05-06,167.77
2011-05-13,164.18
2011-05-20,163.39
2011-05-27,164.63
2011-06-03,165.17
2011-06-10,159.61
2011-06-17,158.49
2011-06-24,155.11
2011-07-01,165.21
2011-07-08,162.04
2011-07-15,156.52
2011-07-22,162.26
2011-07-29,158.31
2011-08-05,140.99
2011-08-12,140.47
2011-08-19,133.95
2011-08-26,134.84
2011-09-02,137.92
2011-09-09,128.35
2011-09-16,132.24
2011-09-23,121.9
2011-09-30,126.6
2011-10-07,130.58
2011-10-14,138.0
2011-10-21,138.61
2011-10-28,147.36
2011-11-04,137.82
2011-11-11,138.43
2011-11-18,131.39
2011-11-25,123.08
2011-12-02,135.41
2011-12-09,134.64
2011-12-16,127.74
2011-12-23,132.16
2011-12-30,133.05
2012-01-06,131.92
2012-01-13,132.34
2012-01-20,138.65
2012-01-27,140.78
2012-02-03,145.74
2012-02-10,144.64
2012-02-17,147.12
2012-02-24,149.84
2012-03-02,148.53
2012-03-09,146.83
2012-03-16,151.34
2012-03-23,148.74
2012-03-30,148.16
2012-04-06,143.17
2012-04-13,140.39
2012-04-20,144.42
2012-04-27,146.2
2012-05-04,141.65
2012-05-11,139.77
2012-05-18,130.51
2012-05-25,130.54
2012-06-01,125.18
2012-06-08,130.1
2012-06-15,133.02
2012-06-22,133.48
2012-06-29,137.69
2012-07-06,135.3
2012-07-13,135.65
2012-07-20,135.82
2012-07-27,138.99
2012-08-03,141.75
2012-08-10,143.96
2012-08-17,145.44
2012-08-24,145.45
2012-08-31,145.52
2012-09-07,151.26
2012-09-14,157.45
2012-09-21,155.48
2012-09-28,150.04
2012-10-05,155.53
2012-10-12,151.82
2012-10-19,155.26
2012-10-26,152.13
2012-11-02,153.54
2012-11-09,149.45
2012-11-16,145.4
2012-11-23,154.28
2012-11-30,156.27
2012-12-07,157.27
2012-12-14,159.63
2012-12-21,161.37
2012-12-28,160.7
2013-01-04,163.74
2013-01-11,167.1
2013-01-18,166.47
2013-01-25,170.45
2013-02-01,172.34
2013-02-08,167.89
2013-02-15,167.64
2013-02-22,166.05
2013-03-01,164.23
2013-03-08,168.11
2013-03-15,170.41
2013-03-22,167.82
2013-03-29,165.72
2013-04-05,164.34
2013-04-12,168.65
2013-04-19,164.63
2013-04-26,170.5
2013-05-03,175.04
2013-05-10,175.88
2013-05-17,176.34
2013-05-24,175.01
2013-05-31,174.09
2013-06-07,174.48
2013-06-14,173.66
2013-06-21,164.76
2013-06-28,165.81
2013-07-05,165.67
2013-07-12,173.14
2013-07-19,176.49
2013-07-26,177.62
2013-08-02,181.02
2013-08-09,183.17
2013-08-16,183.35
2013-08-23,183.42
2013-08-30,176.1
2013-09-06,180.97
2013-09-13,185.57
2013-09-20,190.76
2013-09-27,190.08
2013-10-04,189.47
2013-10-11,190.1
2013-10-18,196.25
2013-10-25,198.73
