statement_date,driver,identified_exact,identified_quarter,parse_failed,confidence
2005-02-02,curve_slope,0,0,1,
2005-02-02,inflation,0,0,0,0.52
2005-02-02,inflation_expectations,0,0,0,0.4
2005-02-02,labor_tightness,0,0,1,
2005-02-02,term_premium,0,0,1,
2005-03-22,curve_slope,0,0,1,
2005-03-22,inflation,0,0,0,0.82
2005-03-22,inflation_expectations,0,0,1,
2005-03-22,labor_tightness,0,0,1,
2005-03-22,term_premium,0,0,1,
2005-05-03,curve_slope,0,0,1,
2005-05-03,inflation,0,0,0,0.72
2005-05-03,inflation_expectations,0,0,1,
2005-05-03,labor_tightness,0,0,1,
2005-05-03,term_premium,0,0,1,
2005-06-30,curve_slope,0,0,1,
2005-06-30,inflation,0,0,0,0.72
2005-06-30,inflation_expectations,0,0,1,
2005-06-30,labor_tightness,0,0,1,
2005-06-30,term_premium,0,0,1,
2005-08-09,curve_slope,1,1,0,0.95
2005-08-09,inflation,0,0,1,
2005-08-09,inflation_expectations,0,0,1,
2005-08-09,labor_tightness,0,0,1,
2005-08-09,term_premium,0,0,1,
2005-09-20,curve_slope,1,1,0,0.98
2005-09-20,inflation,1,1,0,0.97
2005-09-20,inflation_expectations,0,0,1,
2005-09-20,labor_tightness,1,1,0,0.97
2005-09-20,term_premium,0,0,0,0.52
2005-11-01,curve_slope,1,1,0,0.97
2005-11-01,inflation,1,1,0,0.92
2005-11-01,inflation_expectations,0,0,1,
2005-11-01,labor_tightness,1,1,0,0.88
2005-11-01,term_premium,0,0,1,
2005-12-13,curve_slope,1,1,0,0.97
2005-12-13,inflation,0,1,0,0.92
2005-12-13,inflation_expectations,0,0,1,
2005-12-13,labor_tightness,0,1,0,0.85
2005-12-13,term_premium,0,0,1,
2006-01-31,curve_slope,1,1,0,0.95
2006-01-31,inflation,0,0,1,
2006-01-31,inflation_expectations,0,0,0,0.25
2006-01-31,term_premium,0,0,0,0.25
2006-03-28,curve_slope,1,1,0,0.97
2006-03-28,inflation,0,0,1,
2006-03-28,inflation_expectations,0,0,1,
2006-03-28,labor_tightness,0,0,1,
2006-03-28,term_premium,0,0,1,
2006-05-10,curve_slope,1,1,0,0.95
2006-05-10,inflation,0,0,0,0.82
2006-05-10,inflation_expectations,0,0,0,0.35
2006-05-10,labor_tightness,0,0,1,
2006-06-29,curve_slope,1,1,0,0.95
2006-06-29,inflation,1,1,0,0.85
2006-06-29,inflation_expectations,0,0,1,
2006-06-29,labor_tightness,0,0,1,
2006-08-08,curve_slope,1,1,0,0.93
2006-08-08,inflation,0,0,1,
2006-08-08,inflation_expectations,0,0,0,0.52
2006-08-08,labor_tightness,0,0,1,
2006-09-20,curve_slope,0,0,1,
2006-09-20,inflation,0,0,0,0.72
2006-09-20,inflation_expectations,0,0,1,
2006-10-25,curve_slope,1,1,0,0.72
2006-10-25,inflation,1,1,0,0.72
2006-10-25,inflation_expectations,0,0,0,0.52
2006-12-12,curve_slope,0,1,0,0.72
2006-12-12,inflation,0,0,1,
2006-12-12,inflation_expectations,0,0,1,
2007-01-31,curve_slope,1,1,0,0.72
2007-01-31,inflation,0,0,1,
2007-01-31,inflation_expectations,0,0,1,
2007-03-21,curve_slope,0,0,0,0.52
2007-03-21,inflation,0,0,0,0.72
2007-05-09,curve_slope,0,0,0,0.52
2007-05-09,inflation,0,0,0,0.72
2007-06-28,curve_slope,0,0,1,
2007-06-28,inflation,0,0,0,0.72
2007-08-07,curve_slope,0,0,0,0.62
2007-08-07,financial_conditions,0,1,0,0.72
2007-08-07,inflation,0,0,0,0.82
2007-08-07,labor_tightness,0,0,1,
2007-09-18,curve_slope,1,1,0,0.97
2007-09-18,financial_conditions,0,0,1,
2007-09-18,inflation,0,0,0,0.82
2007-09-18,labor_tightness,0,0,1,
2007-10-31,curve_slope,1,1,0,0.97
2007-10-31,financial_conditions,1,1,0,0.95
2007-10-31,inflation,0,0,0,0.82
2007-12-11,curve_slope,1,1,0,0.97
2007-12-11,financial_conditions,0,0,1,
2007-12-11,inflation,0,0,1,
2008-01-30,curve_slope,1,1,0,0.97
2008-01-30,financial_conditions,0,0,0,0.82
2008-01-30,inflation,0,0,1,
2008-01-30,labor_tightness,1,1,0,0.85
2008-03-18,curve_slope,1,1,0,0.97
2008-03-18,financial_conditions,0,0,1,
2008-03-18,inflation,0,0,1,
2008-03-18,inflation_expectations,0,0,0,0.72
2008-03-18,labor_tightness,1,1,0,0.72
2008-04-30,curve_slope,1,1,0,0.97
2008-04-30,financial_conditions,0,0,1,
2008-04-30,inflation,1,1,0,0.95
2008-04-30,inflation_expectations,1,1,0,0.62
2008-04-30,labor_tightness,0,0,1,
2008-06-25,curve_slope,1,1,0,0.97
2008-06-25,financial_conditions,0,1,0,0.82
2008-06-25,inflation,1,1,0,0.97
2008-06-25,inflation_expectations,0,0,1,
2008-06-25,labor_tightness,0,0,0,0.72
2008-08-05,curve_slope,1,1,0,0.82
2008-08-05,financial_conditions,1,1,0,0.82
2008-08-05,inflation,0,0,0,0.82
2008-08-05,inflation_expectations,0,1,0,0.82
2008-08-05,labor_tightness,0,0,0,0.72
2008-09-16,curve_slope,0,0,0,0.72
2008-09-16,financial_conditions,1,1,0,0.82
2008-09-16,inflation,0,0,1,
2008-09-16,inflation_expectations,0,0,1,
2008-09-16,labor_tightness,0,0,1,
2008-10-29,curve_slope,0,0,1,
2008-10-29,financial_conditions,0,0,1,
2008-10-29,inflation,0,0,0,0.82
2008-10-29,labor_tightness,1,1,0,0.82
2008-12-16,balance_sheet,0,0,0,0.82
2008-12-16,curve_slope,1,1,0,0.99
2008-12-16,financial_conditions,1,1,0,0.95
2008-12-16,inflation,0,1,0,0.82
2008-12-16,inflation_expectations,1,1,0,0.85
2008-12-16,labor_tightness,0,1,0,0.52
2008-12-16,term_premium,1,1,0,0.85
2009-01-28,balance_sheet,1,1,0,0.82
2009-01-28,curve_slope,1,1,0,0.92
2009-01-28,financial_conditions,1,1,0,0.93
2009-01-28,inflation,0,0,0,0.82
2009-01-28,inflation_expectations,0,0,1,
2009-01-28,labor_tightness,0,0,1,
2009-01-28,term_premium,1,1,0,0.82
2009-03-18,balance_sheet,1,1,0,0.97
2009-03-18,curve_slope,1,1,0,0.85
2009-03-18,financial_conditions,0,0,1,
2009-03-18,inflation,1,1,0,0.72
2009-03-18,inflation_expectations,1,1,0,0.97
2009-03-18,labor_tightness,0,0,1,
2009-03-18,term_premium,1,1,0,0.97
2009-04-29,balance_sheet,1,1,0,0.92
2009-04-29,curve_slope,1,1,0,0.95
2009-04-29,financial_conditions,1,1,0,0.97
2009-04-29,inflation,0,1,0,0.72
2009-04-29,inflation_expectations,0,0,0,0.97
2009-04-29,labor_tightness,0,0,1,
2009-04-29,term_premium,1,1,0,0.88
2009-06-24,balance_sheet,1,1,0,0.72
2009-06-24,curve_slope,1,1,0,0.97
2009-06-24,financial_conditions,0,0,0,0.82
2009-06-24,inflation,0,0,0,0.82
2009-06-24,labor_tightness,0,0,0,0.82
2009-06-24,term_premium,0,0,0,0.92
2009-08-12,balance_sheet,1,1,0,0.95
2009-08-12,curve_slope,1,1,0,0.95
2009-08-12,financial_conditions,1,1,0,0.85
2009-08-12,inflation,0,0,0,0.72
2009-08-12,labor_tightness,0,0,1,
2009-08-12,term_premium,1,1,0,0.92
2009-09-23,balance_sheet,0,0,0,0.82
2009-09-23,curve_slope,1,1,0,0.93
2009-09-23,financial_conditions,0,1,0,0.85
2009-09-23,inflation,0,1,0,0.72
2009-09-23,inflation_expectations,0,0,1,
2009-09-23,labor_tightness,0,0,1,
2009-09-23,term_premium,1,1,0,0.88
2009-11-04,balance_sheet,1,1,0,0.93
2009-11-04,curve_slope,0,0,1,
2009-11-04,financial_conditions,1,1,0,0.82
2009-11-04,inflation,0,0,1,
2009-11-04,inflation_expectations,1,1,0,0.72
2009-11-04,labor_tightness,0,0,0,0.85
2009-11-04,term_premium,0,0,1,
2009-12-16,balance_sheet,0,0,0,0.85
2009-12-16,curve_slope,0,1,0,0.82
2009-12-16,financial_conditions,0,0,1,
2009-12-16,inflation,0,0,0,0.52
2009-12-16,inflation_expectations,0,0,0,0.42
2009-12-16,labor_tightness,1,1,0,0.93
2009-12-16,term_premium,0,0,0,0.25
2010-01-27,balance_sheet,0,0,1,
2010-01-27,curve_slope,0,0,1,
2010-01-27,financial_conditions,0,0,1,
2010-01-27,inflation,0,0,0,0.72
2010-01-27,inflation_expectations,0,0,0,0.72
2010-01-27,labor_tightness,1,1,0,0.95
2010-01-27,term_premium,0,0,1,
2010-03-16,balance_sheet,1,1,0,0.93
2010-03-16,curve_slope,1,1,0,0.72
2010-03-16,financial_conditions,0,0,1,
2010-03-16,inflation,0,0,0,0.52
2010-03-16,inflation_expectations,0,0,0,0.72
2010-03-16,labor_tightness,1,1,0,0.97
2010-03-16,term_premium,0,0,1,
2010-04-28,balance_sheet,0,0,1,
2010-04-28,curve_slope,1,1,0,0.72
2010-04-28,financial_conditions,1,1,0,0.93
2010-04-28,inflation,0,0,1,
2010-04-28,inflation_expectations,0,0,0,0.72
2010-04-28,labor_tightness,1,1,0,0.95
2010-04-28,term_premium,0,0,0,0.35
2010-06-23,balance_sheet,0,1,0,0.72
2010-06-23,curve_slope,1,1,0,0.52
2010-06-23,financial_conditions,1,1,0,0.82
2010-06-23,inflation,0,0,0,0.52
2010-06-23,inflation_expectations,0,0,0,0.72
2010-06-23,labor_tightness,1,1,0,0.93
2010-06-23,term_premium,0,0,0,0.35
2010-08-10,balance_sheet,1,1,0,0.93
2010-08-10,curve_slope,1,1,0,0.97
2010-08-10,financial_conditions,0,0,1,
2010-08-10,inflation,1,1,0,0.97
2010-08-10,inflation_expectations,1,1,0,0.97
2010-08-10,labor_tightness,1,1,0,0.97
2010-08-10,term_premium,1,1,0,0.95
2010-09-21,balance_sheet,0,0,1,
2010-09-21,curve_slope,1,1,0,0.95
2010-09-21,financial_conditions,0,0,1,
2010-09-21,inflation,1,1,0,0.93
2010-09-21,inflation_expectations,1,1,0,0.88
2010-09-21,labor_tightness,1,1,0,0.95
2010-09-21,term_premium,0,0,0,0.85
2010-11-03,balance_sheet,1,1,0,0.99
2010-11-03,curve_slope,1,1,0,0.99
2010-11-03,financial_conditions,0,0,1,
2010-11-03,inflation,1,1,0,0.97
2010-11-03,inflation_expectations,1,1,0,0.99
2010-11-03,labor_tightness,1,1,0,0.97
2010-11-03,term_premium,1,1,0,0.99
2010-12-14,balance_sheet,1,1,0,0.95
2010-12-14,curve_slope,1,1,0,0.97
2010-12-14,financial_conditions,0,0,1,
2010-12-14,inflation,1,1,0,0.97
2010-12-14,inflation_expectations,0,0,1,
2010-12-14,labor_tightness,1,1,0,0.97
2010-12-14,term_premium,1,1,0,0.92
2011-01-26,balance_sheet,1,1,0,0.72
2011-01-26,curve_slope,0,0,1,
2011-01-26,financial_conditions,1,1,0,0.82
2011-01-26,inflation,0,0,1,
2011-01-26,inflation_expectations,1,1,0,0.82
2011-01-26,labor_tightness,1,1,0,0.95
2011-01-26,term_premium,0,0,1,
2011-03-15,balance_sheet,0,0,1,
2011-03-15,curve_slope,0,1,0,0.62
2011-03-15,financial_conditions,0,0,1,
2011-03-15,inflation,1,1,0,0.93
2011-03-15,inflation_expectations,0,0,0,0.88
2011-03-15,labor_tightness,1,1,0,0.97
2011-03-15,term_premium,1,1,0,0.72
2011-04-27,balance_sheet,0,1,0,0.93
2011-04-27,curve_slope,1,1,0,0.88
2011-04-27,financial_conditions,0,1,0,0.25
2011-04-27,inflation,1,1,0,0.95
2011-04-27,inflation_expectations,1,1,0,0.95
2011-04-27,labor_tightness,1,1,0,0.93
2011-04-27,term_premium,1,1,0,0.82
2011-06-22,balance_sheet,1,1,0,0.95
2011-06-22,curve_slope,1,1,0,0.97
2011-06-22,financial_conditions,0,0,1,
2011-06-22,inflation,0,0,1,
2011-06-22,inflation_expectations,1,1,0,0.93
2011-06-22,labor_tightness,0,1,0,0.72
2011-06-22,term_premium,1,1,0,0.97
2011-08-09,balance_sheet,1,1,0,0.85
2011-08-09,curve_slope,0,0,1,
2011-08-09,financial_conditions,0,0,1,
2011-08-09,inflation,1,1,0,0.97
2011-08-09,inflation_expectations,0,0,0,0.97
2011-08-09,labor_tightness,1,1,0,0.72
2011-08-09,term_premium,0,0,1,
2011-09-21,balance_sheet,1,1,0,0.97
2011-09-21,curve_slope,0,0,1,
2011-09-21,financial_conditions,1,1,0,0.82
2011-09-21,inflation,1,1,0,0.97
2011-09-21,inflation_expectations,0,0,1,
2011-09-21,labor_tightness,1,1,0,0.72
2011-09-21,term_premium,1,1,0,0.97
2011-11-02,balance_sheet,1,1,0,0.93
2011-11-02,curve_slope,0,0,1,
2011-11-02,financial_conditions,0,0,1,
2011-11-02,inflation,1,1,0,0.92
2011-11-02,inflation_expectations,0,0,1,
2011-11-02,labor_tightness,0,0,0,0.52
2011-11-02,term_premium,0,0,1,
2011-12-13,balance_sheet,0,1,0,0.72
2011-12-13,curve_slope,0,0,1,
2011-12-13,financial_conditions,1,1,0,0.72
2011-12-13,inflation,0,0,1,
2011-12-13,inflation_expectations,0,0,1,
2011-12-13,labor_tightness,0,0,1,
2011-12-13,term_premium,0,0,1,
2012-01-25,balance_sheet,0,0,0,0.85
2012-01-25,curve_slope,1,1,0,0.85
2012-01-25,financial_conditions,1,1,0,0.55
2012-01-25,inflation,1,1,0,0.88
2012-01-25,inflation_expectations,0,0,1,
2012-01-25,labor_tightness,0,0,0,0.52
2012-01-25,term_premium,0,0,1,
2012-03-13,balance_sheet,0,0,0,0.72
2012-03-13,curve_slope,0,1,0,0.82
2012-03-13,financial_conditions,0,1,0,0.72
2012-03-13,inflation,0,0,1,
2012-03-13,inflation_expectations,0,0,1,
2012-03-13,labor_tightness,0,0,0,0.72
2012-03-13,term_premium,0,0,1,
2012-04-25,balance_sheet,0,0,0,0.72
2012-04-25,curve_slope,0,0,1,
2012-04-25,financial_conditions,0,0,0,0.72
2012-04-25,inflation,0,0,1,
2012-04-25,inflation_expectations,0,0,0,0.6
2012-04-25,labor_tightness,0,0,0,0.52
2012-04-25,term_premium,0,0,1,
2012-06-20,balance_sheet,0,0,1,
2012-06-20,curve_slope,0,0,1,
2012-06-20,financial_conditions,0,0,1,
2012-06-20,inflation,0,0,1,
2012-06-20,inflation_expectations,0,0,1,
2012-06-20,labor_tightness,0,0,1,
2012-06-20,term_premium,0,0,1,
2012-08-01,balance_sheet,1,1,0,0.72
2012-08-01,curve_slope,0,0,1,
2012-08-01,financial_conditions,0,0,1,
2012-08-01,inflation,1,1,0,0.82
2012-08-01,inflation_expectations,0,1,0,0.62
2012-08-01,labor_tightness,1,1,0,0.82
2012-08-01,term_premium,0,0,1,
2012-09-13,balance_sheet,1,1,0,0.97
2012-09-13,curve_slope,1,1,0,0.99
2012-09-13,financial_conditions,0,0,0,0.95
2012-09-13,inflation,1,1,0,0.97
2012-09-13,inflation_expectations,0,0,0,0.9
2012-09-13,labor_tightness,1,1,0,0.97
2012-09-13,term_premium,0,0,1,
2012-10-24,balance_sheet,1,1,0,0.95
2012-10-24,curve_slope,1,1,0,0.95
2012-10-24,financial_conditions,0,0,0,0.82
2012-10-24,inflation,0,0,1,
2012-10-24,inflation_expectations,0,0,1,
2012-10-24,labor_tightness,1,1,0,0.82
2012-10-24,term_premium,0,0,1,
2012-12-12,balance_sheet,1,1,0,0.99
2012-12-12,curve_slope,1,1,0,0.97
2012-12-12,financial_conditions,1,1,0,0.85
2012-12-12,inflation,1,1,0,0.97
2012-12-12,inflation_expectations,1,1,0,0.98
2012-12-12,labor_tightness,1,1,0,0.97
2012-12-12,term_premium,1,1,0,0.98
2013-01-30,balance_sheet,0,0,0,0.97
2013-01-30,curve_slope,0,0,0,0.98
2013-01-30,financial_conditions,0,0,1,
2013-01-30,inflation,0,0,1,
2013-01-30,inflation_expectations,1,1,0,0.9
2013-01-30,labor_tightness,0,0,1,
2013-01-30,term_premium,1,1,0,0.95
2013-03-20,balance_sheet,1,1,0,0.72
2013-03-20,curve_slope,1,1,0,0.88
2013-03-20,financial_conditions,0,1,0,0.72
2013-03-20,inflation,1,1,0,0.72
2013-03-20,inflation_expectations,0,0,1,
2013-03-20,labor_tightness,1,1,0,0.82
2013-03-20,term_premium,1,1,0,0.62
2013-05-01,balance_sheet,0,0,1,
2013-05-01,curve_slope,1,1,0,0.95
2013-05-01,financial_conditions,0,0,1,
2013-05-01,inflation,0,0,1,
2013-05-01,inflation_expectations,0,0,1,
2013-05-01,labor_tightness,0,0,0,0.82
2013-05-01,term_premium,0,0,0,0.52
2013-06-19,balance_sheet,0,0,1,
2013-06-19,curve_slope,1,1,0,0.95
2013-06-19,financial_conditions,0,0,1,
2013-06-19,inflation,0,0,1,
2013-06-19,inflation_expectations,0,0,0,0.82
2013-06-19,labor_tightness,0,0,0,0.82
2013-06-19,term_premium,0,1,0,0.82
2013-07-31,balance_sheet,0,0,1,
2013-07-31,curve_slope,1,1,0,0.97
2013-07-31,financial_conditions,0,0,1,
2013-07-31,inflation,0,1,0,0.93
2013-07-31,inflation_expectations,0,0,1,
2013-07-31,labor_tightness,0,0,1,
2013-07-31,term_premium,0,0,1,
2013-09-18,balance_sheet,0,0,0,0.72
2013-09-18,curve_slope,1,1,0,0.98
2013-09-18,financial_conditions,0,0,0,0.92
2013-09-18,inflation,0,0,1,
2013-09-18,inflation_expectations,0,0,0,0.82
2013-09-18,labor_tightness,0,0,1,
2013-09-18,term_premium,0,0,0,0.82
2013-10-30,balance_sheet,0,0,1,
2013-10-30,curve_slope,1,1,0,0.97
2013-10-30,financial_conditions,0,0,1,
2013-10-30,inflation,0,0,1,
2013-10-30,inflation_expectations,0,0,0,0.52
2013-10-30,labor_tightness,0,0,1,
2013-10-30,term_premium,0,0,1,
2013-12-18,balance_sheet,1,1,0,0.99
2013-12-18,curve_slope,1,1,0,0.99
2013-12-18,financial_conditions,1,1,0,0.72
2013-12-18,inflation,0,0,1,
2013-12-18,inflation_expectations,1,1,0,0.99
2013-12-18,labor_tightness,1,1,0,0.99
2013-12-18,term_premium,1,1,0,0.98
2014-01-29,balance_sheet,1,1,0,0.98
2014-01-29,curve_slope,1,1,0,0.97
2014-01-29,financial_conditions,0,0,1,
2014-01-29,inflation,0,0,1,
2014-01-29,inflation_expectations,1,1,0,0.97
2014-01-29,labor_tightness,1,1,0,0.95
2014-01-29,term_premium,1,1,0,0.97
2014-03-19,balance_sheet,1,1,0,0.98
2014-03-19,curve_slope,1,1,0,0.97
2014-03-19,financial_conditions,0,0,1,
2014-03-19,inflation,1,1,0,0.95
2014-03-19,inflation_expectations,0,0,1,
2014-03-19,labor_tightness,0,0,1,
2014-03-19,term_premium,0,0,1,
2014-04-30,balance_sheet,0,0,1,
2014-04-30,curve_slope,1,1,0,0.97
2014-04-30,financial_conditions,0,0,1,
2014-04-30,inflation,0,0,1,
2014-04-30,inflation_expectations,0,0,1,
2014-04-30,labor_tightness,0,0,1,
2014-04-30,term_premium,1,1,0,0.95
2014-06-18,balance_sheet,0,0,1,
2014-06-18,curve_slope,0,0,1,
2014-06-18,financial_conditions,0,0,1,
2014-06-18,inflation,0,0,1,
2014-06-18,inflation_expectations,1,1,0,0.97
2014-06-18,labor_tightness,0,0,1,
2014-06-18,term_premium,1,1,0,0.97
2014-07-30,balance_sheet,0,0,1,
2014-07-30,curve_slope,1,1,0,0.98
2014-07-30,financial_conditions,0,0,1,
2014-07-30,inflation,0,0,1,
2014-07-30,inflation_expectations,0,0,1,
2014-07-30,labor_tightness,1,1,0,0.93
2014-07-30,term_premium,1,1,0,0.97
2014-09-17,balance_sheet,0,0,1,
2014-09-17,curve_slope,1,1,0,0.98
2014-09-17,financial_conditions,0,0,1,
2014-09-17,inflation,1,1,0,0.93
2014-09-17,inflation_expectations,1,1,0,0.97
2014-09-17,labor_tightness,0,0,1,
2014-09-17,term_premium,1,1,0,0.97
2014-10-29,balance_sheet,0,0,0,0.97
2014-10-29,curve_slope,1,1,0,0.98
2014-10-29,financial_conditions,0,1,0,0.82
2014-10-29,inflation,1,1,0,0.97
2014-10-29,inflation_expectations,0,0,1,
2014-10-29,labor_tightness,1,1,0,0.97
2014-10-29,term_premium,0,0,1,
2014-12-17,balance_sheet,0,0,0,0.72
2014-12-17,curve_slope,1,1,0,0.97
2014-12-17,financial_conditions,0,0,1,
2014-12-17,inflation,0,0,1,
2014-12-17,inflation_expectations,1,1,0,0.97
2014-12-17,labor_tightness,0,0,1,
2014-12-17,term_premium,1,1,0,0.95
2015-01-28,balance_sheet,0,0,1,
2015-01-28,curve_slope,1,1,0,0.95
2015-01-28,financial_conditions,0,0,0,0.72
2015-01-28,inflation,0,0,1,
2015-01-28,inflation_expectations,0,0,0,0.95
2015-01-28,labor_tightness,0,0,1,
2015-01-28,term_premium,0,0,0,0.95
2015-03-18,balance_sheet,0,0,1,
2015-03-18,curve_slope,1,1,0,0.97
2015-03-18,financial_conditions,0,0,0,0.15
2015-03-18,inflation,0,0,1,
2015-03-18,inflation_expectations,0,0,1,
2015-03-18,labor_tightness,0,0,0,0.88
2015-03-18,term_premium,0,0,1,
2015-04-29,balance_sheet,0,0,1,
2015-04-29,curve_slope,1,1,0,0.55
2015-04-29,financial_conditions,0,0,0,0.15
2015-04-29,inflation,0,0,1,
2015-04-29,inflation_expectations,0,0,1,
2015-04-29,labor_tightness,1,1,0,0.88
2015-04-29,term_premium,0,0,1,
2015-06-17,balance_sheet,0,0,1,
2015-06-17,curve_slope,0,0,1,
2015-06-17,financial_conditions,0,0,0,0.15
2015-06-17,inflation,0,0,0,0.72
2015-06-17,inflation_expectations,0,0,1,
2015-06-17,labor_tightness,0,0,1,
2015-06-17,term_premium,0,0,1,
2015-07-29,balance_sheet,0,0,1,
2015-07-29,curve_slope,0,0,1,
2015-07-29,financial_conditions,0,0,0,0.15
2015-07-29,inflation,0,0,0,0.93
2015-07-29,inflation_expectations,0,0,1,
2015-07-29,labor_tightness,0,0,0,0.88
2015-07-29,term_premium,0,0,1,
2015-09-17,balance_sheet,0,0,1,
2015-09-17,curve_slope,1,1,0,0.97
2015-09-17,financial_conditions,1,1,0,0.93
2015-09-17,inflation,1,1,0,0.97
2015-09-17,inflation_expectations,0,0,0,0.72
2015-09-17,labor_tightness,0,0,1,
2015-09-17,term_premium,0,0,1,
2015-10-28,balance_sheet,0,0,1,
2015-10-28,curve_slope,1,1,0,0.98
2015-10-28,financial_conditions,1,1,0,0.93
2015-10-28,inflation,0,0,1,
2015-10-28,inflation_expectations,0,0,1,
2015-10-28,labor_tightness,0,0,1,
2015-10-28,term_premium,0,0,1,
2015-12-16,balance_sheet,0,0,0,0.72
2015-12-16,curve_slope,1,1,0,0.99
2015-12-16,financial_conditions,0,0,0,0.92
2015-12-16,inflation,1,1,0,0.99
2015-12-16,inflation_expectations,0,0,1,
2015-12-16,labor_tightness,1,1,0,0.99
2015-12-16,term_premium,0,0,0,0.72
